"name","del","address"
"Aaraike Charitable Trust","00595-2021-2022, Bangalore North (KARNATAKA)","12th B Main Vrishabhavathinagar Kamakshipalya 560076"
"ASGK EDUCATIONAL CHARITABLE TRUST","02/2022-23, Bangalore (KARNATAKA)","05,8th Cross ASB Lakshmi layout ,VISHWANEEDAM POST SUNKUDAKATTE"
"Academy for Severe Handicaps and Autism( ASHA) Charitable Trust","029, Bangalore (KARNATAKA)","L-76/A, Kirloskar Colony, HBCS 3rd Stage, Basaveshwaranagar, 4th Block"
"Adarsha Education Society","03/1990, Bellary (KARNATAKA)","Adarsha Education Society Sangankallu village Bellary Tq and District 583103"
"ASHADEEPA TRUST","06, RAICHUR (KARNATAKA)","Public Garden, Besides Bal Bhavan, Station Road,"
"A Shama Rao Foundation","07, Mangalore (KARNATAKA)","13-02-116 HOTEL SRINIVAS BUILDING G.H.S. ROAD, MANGALORE"
"Aapatsahaaya Foundation","083/08-09, BANGALORE (KARNATAKA)","154, 4TH CROSS, GKW LAYOUT,VIJAYANAGAR,"
"ADHYATMA VIDYA PEETH ( INSTITUTE OF SPIRITUALITY)","094420246, BANGALORE (KARNATAKA)","CARMELARAM P.O"
"ACHARYA INSTITUTE FOR INNOVATION AND TRANSFORMATION","1/140-2020-2023, Mysore (KARNATAKA)","KSOU ACADEMIC BLOCK, 18th Cross Road, B BLOCK VIJAYANAGARA, KSOU ACADEMIC BLOCK, 18th Cross Road, Vijayanagar, Mysuru, Mysuru, Karnataka, 570012"
"ACHARYA CHANAKYA TRUST","10/2022, GULBARGA (KARNATAKA)","CHINCHOLI ROAD MAHAGAON CROSS, KAMALAPUR MAHAGAON GULBARGA KARNATAKA"
"ACCESS","1005/91-92, Bangalore (KARNATAKA)","10, ACCESS, New Chellekere Extension, Kalyan Nagar, Bangalore -560 043"
"ACADEMY OF ART AND ARCHITECTURE","1015/1989-90, MYSORE (KARNATAKA)","CA-Site No 2, Bogadi 2nd Stage, North Extension, Mysuru, Karnataka-570026"
"ABHINAYA BHARATHI","106/2000-2001, Bangalore (KARNATAKA)","Dharini"
"ABUNDANT LIFE MINISTRIES","1078/ IV-2004-2005, BANGALORE (KARNATAKA)","A-2, KIRAN APARTMENT HORAMAVU MAIN ROAD DODDA BANASWADI KALYANANAGAR"
"ADARSHA RURAL DEVELOPMENT AND TRAINING SOCIETY","1087, Bangalore (KARNATAKA)","Opp:Housing Board 5th Block, Bagepalli-561207, Chickaballapur District, Karnataka."
"ADARSH GRAMIN ABIRUDDI SAMSTHE TUKKANATTI","109/2017-18, GOKAK (KARNATAKA)","HUKKERI BUILDINGGOKAK MAIN ROADTUKKANATTIBELAGAUM591224"
"ARUNA RAVI TRUST","1187/23-24, Bangalore (KARNATAKA)","No 201, 2Nd Floor, KCR Elite Appartment Shamanna Gowda Layout Near Corporation Community Hall Halasuru Bangalore -North -Bangalore 560008"
"ABHIDHYAN","121, BANGALORE (KARNATAKA)","VARDHINI MADKU D HOMES. FLAT NO. 404, 3RD FLOOR. YELLANAHALLI, AKSHAYANAGAR, BEGUR KOPPA ROAD."
"A V SPORTS ACADEMY FOUNDATION","1219/2019-20/BKIV, Bangalore (KARNATAKA)","No 156 9th Cross Weavers Colony, Bannerugatta Road Near Gayathri Kalyan Mantapa, Bangalore South, Bannerghatta S.O, BANGALORE, Karnataka, INDIA560083"
"Action for Social and Educational Development Association","124/87-88, Gowribidanur (KARNATAKA)","Action for social and educational and development assoication , shiva nilaya fortGowribidanur -561208 Gowribidanur (Taluk) Chikkaballpura -District"
"ASHA KIRAN","126/1999-2000, Mangaluru (KARNATAKA)","deer tree .no-23-12-1044/31-1,4th lane shivnagar,near GSI HQ pandeshwar mangalore 575001"
"7 BEAN TEAM","126/2023-2024, SAKLESHPUR (KARNATAKA)","1ST FLOOR (ABOVE S S STEELS) MALLIKARJUNA NAGARA , B M ROAD,NEAR TOLLGATE, SAKLESHPUR ,SAKLESHPUR 573134."
"ABHINAYA KALA KENDRA","127, BELLARY (KARNATAKA)","KALANIDHI, PLOT NO.51, K.V.T. NAGAR, BEHIND DATTA SCHOOL, WARD NO.19, BELLARY-583101"
"Achalabharathi","127/10-11, Bengaluru (KARNATAKA)","190, Nandana 1st Cross, Garden Villas, Nagarabhavi Road, Bengaluru-560072"
"ASHADEEP ORGANISATION OF SOCIAL SERVICES","1339/1999-2000, Bangalore (KARNATAKA)","No.58, 6th Main, 7th Cross Postal Colony, Sanjaynagar, Bangalore"
"A P J ABDUL KALAAM EDUCATIONAL CHARITABLE TRUST (R)","14/2016-17, Raichur (KARNATAKA)","R R COLONY ASHAPUR ROAD, RR COLONY ASHAPUR ROAD, Raichur, Raichur H.O, RAICHUR, Karnataka, INDIA584101"
"ABBS ALUMNI ASSOCIATION","1428/09-10, BANGALORE (KARNATAKA)","NO.03.LINGADHEERANA HALLI , NEAR MAGADI ROAD ,BANGALORE"
"A H Memorial Educational trust","150/80-81, BANGALORE (KARNATAKA)","CA Site 7P 1A, PRESIDENCY SCHOOL, 2nd A Main, 3rd A, cross, East of N.G.E.F Layout, Kasturinagar, Bengaluru, Karnataka 560043"
"Ashakirana Charitable Trust","152/10-11, Bangalore (KARNATAKA)","No.61, ""Amma"",Gangadharappa layoutPapareddy palya 5th cross,Nagarabhavi 2nd stageBANGALORE560072"
"AADHYA CHARITABLE FOUNDATION","156897, BANGALORE (KARNATAKA)","K. NO. 515, HENUR VILLAGE BANGALORE Bangalore KA 560043 IN"
"ASARE CHARITABLE TRUST","1585, banglore (KARNATAKA)","no 168,12th block nagarbhavi2nd stage banglore-560072"
"ARPITHA CHARITABLE TRUST","160/2011-12, Ramanagara (KARNATAKA)","Nanjapura, Lakkojanahalli Post, Kailancha hobli, Ramanagara Taluk"
"Abhigyan Imperative Movements (AIM)","160/2016-17 IV, Bangalore (KARNATAKA)","No 31, Anjanadri Nilaya, Pipeline Road, T Dasarahalli ,"
"ARUNA EDUCATIONAL TRUST","161,IV/ADR14/154-163/1995-96, TUMAKURU (KARNATAKA)","RING ROAD,MARALURU"
"Arunodaya Poirada","166/93-94, Hospet (KARNATAKA)","Arunodaya Poirada Papinayakanahalli, HOSPET, Karnataka, Bellary, 583223"
"ABHINANDAN EDUCATION AND RURAL DEVELOPMENT SOCIETY MASKI","17, RAICHUR (KARNATAKA)","ABHINANDAN EDUCATION AND RURAL DEVELOPMENT SOCIETY MASKI-584124,RAICHUR"
"Additive Manufacturing Society of India","18/12-13, Bangalore (KARNATAKA)","No. 42, BSK III Stage, III Block, III Phase, 9th Cross, Bangalore 560085"
"ABHINAYA ARTS CULTURAL CENTRE","18/1980, KOPPAL (KARNATAKA)","GANDHI BAZAAR, KOPPAL POST"
"ABITS8241G","182, BANGALORE (KARNATAKA)","‘Sri Shakti Kshetra’ Sri Saumyakali Temple Kaalikanagara PSI Post, Bengaluru – 560058, Karnataka"
"ADHYATHMAPRAKASHAKARYLAYA","1V 27/350-352 1990-91, BANGALORE (KARNATAKA)","68, (new no 6) 6th Main road ADHYATMA PRAKASHA KARYALAYA ROAD 2ND BLOCK THYGARAJANAGARA, BANGALORE-560070"
"Adarsha Jeevana Network Of People Living with HIV AIDS Association","206/05-06, Mandya (KARNATAKA)","H.No 1265/29 1st Flloor 5th cross Ashok Nagar Mandya"
"ABHAYAS ACADEMY EDUCATIONAL TRUST","206973/2020-21, BANGALORE (KARNATAKA)","ABHAYAS MONTESSORI ,CLUB HOUSE 01,GROUND FLOOR,CANDEUR LAND MARK,NEAR GUNJUR BUS STOP,GUNJUR MAIN ROAD,GUNJUR ,VARTHUR HOBLI BANGALORE-560087"
"ADARSH WOMEN DEVELOPMENT ASSOCIATION (R)","210, BAGALKOT (KARNATAKA)","ADARSH WOMEN DEVELOPMENT ASSOCIATION (R) NAVANAGAR,BAGALKOT"
"ABARAN FOUNDATION","210/19-20, Bangalore (KARNATAKA)","NO 192 OPP ISKCON WEST OF CHORD ROAD MAHALAKSHMI LAYOUT BANGALORE"
"ARYA SEVASHRAMA TRUST","2104/58-59, BANGALORE (KARNATAKA)","ARYA SEVASHRAMA TRUST. 1ST, N BLOCK, RAJAJINAGAR P O BANGALORE 560010"
"AASARE GRAMINA SEVA TRUST","216, BELGAUM (KARNATAKA)","H NO 20026 RAMPURA SITE SAVADATTIBELAGAVI"
"Academy of General Education","230 of 1962-63, MANIPAl (KARNATAKA)","MADHAVA KRIPA ENGLISH NURSERY AND HIGHER PRIMARY SCHOOL, MANIPAL-576104, KARNATAKA"
"Adhyapana School","234/94-96, Bangalore (KARNATAKA)","No 30 1st main road chinnana layout kavalbysandra RT nagar post Bangalore-32"
"AADISHAKTHI SOCIAL DEVELOPMENT MAHILA MANDAL","236/2006-07, BHALKI (KARNATAKA)","R/O. MIG- 2-5 KHB COLONY BHALKI TQ. BHALKI DIST. BIDAR585328"
"ADITYA NANDA RURAL HUMAN RESOURCE DEVELOPMENT SOCIETY","246/98-99, Bangalore (KARNATAKA)","No 210, 4th main, 2nd main , Sampige layout"
"Aashrita Charitable Trust","247/08-09, Chikkaballapur (KARNATAKA)","15/12. Aashrita Charitable Trust(R) Anakanur Gate DC Office(Siddlagatta ) Road Chikkaballapur Pin 562101"
"ACTION SOCIETY FOR INTEGRAL DEVELOPMENT","249/88-89, KOLAR (KARNATAKA)","ACTION SOCIETY FOR INTEGRAL DEVELOPMENT KUMBARPET, BAGEPALLI - 561 207 CHICKABALLAPUR DISTRICT KARNATAKA"
"ABILASHRAYAM TRUST","251/08-09, BANGALORE (KARNATAKA)","C/O ABILASHRAYAM TRUST G 185, ground floor, 10th Cross, 20th main, G block, Sahakar Nagar, Bangalore-560092"
"Aatmalaya Academy of Art and Culture Trust","261/2001-02, Bangalore (KARNATAKA)","98/6, Krishnageet Aparments, 2nd Main, Seshadripuram"
"ADARSHINI MAHILA SWA SAHAAYA SANGHAGALA OKKUTA","261/20-21, BANGALORE (KARNATAKA)","NO 37 2ND CROSS VEERABHADRA NAGAR 3RD STAGE"
"AASARE CHARITABLE TRUST","262, ANEKAL (KARNATAKA)","JANATHA COLONY, KAVALAHOSAHALLI, ANEKAL, BANGLORE -562106"
"Adarsh Hindi Vidyapeeth","265/98-99, Hubli (KARNATAKA)","Kalamman Agasi, Hubli"
"Asha Bhavan Charitable Trust","282/2012-13, Nellyadi (KARNATAKA)","Bethany Convent, Nellyadi"
"ADIMA SAMSKRUTHI KENDRA A CULTURAL TRUST","29/2008-09, KOLAR (KARNATAKA)","ADIMA SAMSKRUTHI KENDRA JINKE RAMAYYA JEEVA TAANA, SHIVAGANGE, TERAHALLI BETTA MADERAHALLI POST, KOLARA. 563101"
"ABALASHRAMA","296/43-44, Bengaluru (KARNATAKA)","125-6, Dr. D V G Road, Basavanagudi"
"ARUNDHATHI SHIKSHANA AND GRAMINA ABHIRUDDI SAMSTHE","298/1997-98, HOSADURGA (KARNATAKA)","ARUNDHATHI SHIKSHANA AND GRAMINA ABHIRUDDI SAMSTHE MEDARA BEEDI HOSADURGA 577527"
"ABHAYA SEVA TRUST","31/2007-08/18-06-2007, Udupi (KARNATAKA)","3-3-7, Ambalapady, Udupi"
"AAYUSHYA TRUST","31/24-25, Moodabidri (KARNATAKA)","972L, Sri Ganesh Prasad Kripa, Koppala Pranthya Village, Peranja, Moodabidri Taluk 575006"
"ARUNODHYA SHIKSHANA SAMS THE R KODA","316/91-92, KOD (KARNATAKA)","ARUNODAYA SHIKSHANA SAMSTHE, KODA HIREKERUR TALUK,HAVERI DIST-581109"
"Action on Disability and Development India","317-89-90, Bangalore (KARNATAKA)","No 4005, 19th Cross, Banashankari 2nd Stage, Bangalore -560070"
"ADARSH SEVA KENDRA FOUNDATION","319, BANGALORE SOUTH (KARNATAKA)","128 opp masjid -E QUBA, YARAB NAGAR , B Sk II Stage S.O, Bangalore South"
"ABHIJNANA FOUNDATION","32, hassan (KARNATAKA)","272, kolagunda, at post javagal hobli, arsikere taluk, karnataka"
"ABM RESIDENCY WELFARE ASSOCIATION","331-2018-2019, BANGALORE (KARNATAKA)","NO 72 73 74 75 VIJAYASHREE LAYOUT MYLASANDRA KENGERI HOBLI"
"ADARSHA HINDIVIDYALAYA","34/1964-65, Bangalre (KARNATAKA)","Adarsha Hindi Vidyalaya 43/1-A, First Block, T.R.Nagar, Bangalore-560028 Karnataka INDIA"
"ASHIRVAD","342/14-15, Bangalore (KARNATAKA)","NO.30 ST.MARKS ROAD BANGALORE560001"
"ARYA VYSYA MANDALI CHINTAMANI","346, CHINTAMANI (KARNATAKA)","VASAVI BHAVAN, DODDAPET,CHINAMANI,CHIKKABALLAPUR"
